"Date","Price","Open","High","Low","Vol.","Change %"
"11-05-2024","0.143055","0.143903","0.146193","0.142636","849.02M","-0.59%"
"10-05-2024","0.143903","0.152173","0.153586","0.142498","1.87B","-5.39%"
"09-05-2024","0.152109","0.143223","0.153972","0.143213","1.90B","6.20%"
"08-05-2024","0.143231","0.149983","0.151917","0.142140","2.02B","-4.50%"
"07-05-2024","0.149985","0.156481","0.159854","0.149503","2.07B","-4.15%"
"06-05-2024","0.156481","0.160945","0.169034","0.154158","3.23B","-2.77%"
"05-05-2024","0.160944","0.160141","0.163302","0.154678","2.46B","0.50%"
"04-05-2024","0.160137","0.146054","0.169272","0.145828","4.79B","9.64%"
"03-05-2024","0.146051","0.132000","0.147893","0.131246","2.34B","10.64%"
"02-05-2024","0.132005","0.130221","0.134282","0.124105","2.66B","1.37%"
"01-05-2024","0.130221","0.133360","0.133882","0.120207","4.68B","-2.29%"
"30-04-2024","0.133274","0.143423","0.145949","0.129598","2.61B","-7.08%"
"29-04-2024","0.143422","0.146687","0.148056","0.139841","1.91B","-2.25%"
"28-04-2024","0.146716","0.147730","0.151010","0.146129","1.03B","-0.69%"
"27-04-2024","0.147730","0.147938","0.149624","0.143252","1.48B","-0.14%"
"26-04-2024","0.147936","0.151271","0.151761","0.146977","1.51B","-2.20%"
"25-04-2024","0.151269","0.151317","0.154123","0.147573","1.87B","-0.04%"
"24-04-2024","0.151328","0.159819","0.164282","0.149482","2.82B","-5.32%"
"23-04-2024","0.159825","0.161220","0.162933","0.156965","1.67B","-0.87%"
"22-04-2024","0.161230","0.158709","0.163278","0.156594","2.07B","1.82%"
"21-04-2024","0.158353","0.162693","0.165782","0.155160","2.09B","-2.67%"
"20-04-2024","0.162701","0.155915","0.164596","0.150793","2.81B","4.33%"
"19-04-2024","0.155947","0.152233","0.156981","0.139896","4.06B","2.43%"
"18-04-2024","0.152249","0.147638","0.153713","0.141147","3.35B","3.13%"
"17-04-2024","0.147630","0.156027","0.158605","0.144660","3.23B","-5.38%"
"16-04-2024","0.156026","0.161240","0.162332","0.146425","4.01B","-3.25%"
"15-04-2024","0.161262","0.162287","0.168936","0.150571","5.98B","-0.64%"
"14-04-2024","0.162298","0.152327","0.164427","0.143959","6.22B","6.55%"
"13-04-2024","0.152326","0.174163","0.175783","0.131151","7.89B","-12.54%"
"12-04-2024","0.174163","0.193828","0.200905","0.162235","5.59B","-10.15%"
"11-04-2024","0.193838","0.199734","0.203273","0.190004","3.08B","-2.95%"
"10-04-2024","0.199735","0.189114","0.202056","0.181074","4.07B","5.64%"
"09-04-2024","0.189076","0.202632","0.203352","0.185924","3.26B","-6.69%"
"08-04-2024","0.202638","0.198875","0.208578","0.195733","2.96B","1.89%"
"07-04-2024","0.198884","0.185801","0.204504","0.185511","4.33B","7.05%"
"06-04-2024","0.185785","0.177212","0.187696","0.176456","2.73B","4.86%"
"05-04-2024","0.177167","0.179992","0.180527","0.167624","3.29B","-1.57%"
"04-04-2024","0.179991","0.175215","0.188199","0.172006","3.50B","2.72%"
"03-04-2024","0.175218","0.182334","0.187470","0.170170","5.07B","-3.90%"
"02-04-2024","0.182334","0.205167","0.205167","0.180277","5.96B","-11.13%"
"01-04-2024","0.205173","0.220113","0.220113","0.197712","5.02B","-6.78%"
"31-03-2024","0.220106","0.199160","0.223900","0.199160","3.42B","10.52%"
"30-03-2024","0.199157","0.212930","0.216730","0.197491","3.61B","-6.47%"
"29-03-2024","0.212930","0.220140","0.224607","0.208571","4.95B","-3.28%"
"28-03-2024","0.220159","0.190489","0.228015","0.189283","9.33B","15.59%"
"27-03-2024","0.190473","0.182271","0.191614","0.179507","6.52B","4.53%"
"26-03-2024","0.182226","0.175277","0.186253","0.174878","4.55B","3.96%"
"25-03-2024","0.175283","0.176594","0.186747","0.170050","4.47B","-0.74%"
"24-03-2024","0.176593","0.161726","0.179859","0.161485","4.60B","9.20%"
"23-03-2024","0.161711","0.152968","0.174737","0.151768","5.14B","5.73%"
"22-03-2024","0.152946","0.155459","0.164938","0.145530","5.38B","-1.62%"
"21-03-2024","0.155463","0.152044","0.159614","0.146761","5.19B","2.26%"
"20-03-2024","0.152034","0.128932","0.152975","0.123196","7.07B","17.90%"
"19-03-2024","0.128956","0.143500","0.145121","0.125408","6.86B","-10.14%"
"18-03-2024","0.143501","0.154157","0.154217","0.140032","3.37B","-6.91%"
"17-03-2024","0.154155","0.142515","0.158567","0.137215","4.39B","8.12%"
"16-03-2024","0.142572","0.163504","0.165056","0.138395","4.75B","-12.70%"
"15-03-2024","0.163314","0.177194","0.181241","0.152347","6.54B","-7.81%"
"14-03-2024","0.177141","0.169020","0.191799","0.165343","10.01B","4.80%"
"13-03-2024","0.169034","0.168220","0.174333","0.165097","3.32B","0.48%"
"12-03-2024","0.168225","0.182104","0.183288","0.157987","4.47B","-7.62%"
"11-03-2024","0.182093","0.169990","0.182935","0.160589","4.97B","7.12%"
"10-03-2024","0.169989","0.178776","0.179509","0.165387","3.85B","-4.91%"
"09-03-2024","0.178757","0.169893","0.184630","0.163479","6.05B","8.60%"
"08-03-2024","0.164606","0.157643","0.175376","0.155167","7.40B","4.42%"
"07-03-2024","0.157642","0.157792","0.162273","0.146634","5.74B","-0.10%"
"06-03-2024","0.157793","0.153424","0.179268","0.146629","7.94B","2.84%"
"05-03-2024","0.153434","0.181914","0.206077","0.129484","16.97B","-15.54%"
"04-03-2024","0.181668","0.153927","0.184677","0.147316","11.14B","17.98%"
"03-03-2024","0.153978","0.141931","0.156039","0.124954","8.40B","8.47%"
"02-03-2024","0.141959","0.139533","0.150487","0.136505","7.35B","1.74%"
"01-03-2024","0.139538","0.117209","0.144887","0.117203","9.25B","19.05%"
"29-02-2024","0.117212","0.115953","0.134850","0.111657","12.43B","1.09%"
"28-02-2024","0.115953","0.097589","0.122303","0.094467","11.47B","18.81%"
"27-02-2024","0.097597","0.089285","0.100428","0.088534","6.33B","9.31%"
